S. No.,Date,Notes
1,2022-12-13,[An introduction to C programming.]()
2,2022-12-19,[Structure of C Program.](https://drive.google.com/open?id=1Sx2wrmmeLpVDJtHLSBcU4ER_4rqOP9O6)
3,2022-12-20,[Variables and Keywords in C programming.](https://drive.google.com/open?id=1Zg2VPOnvNLc_bamZbEhR5tIjk5QVrJV7)
4,2022-12-21,[Data types](https://drive.google.com/open?id=1X58mDvapIHt2prPaLvRLgta5TgDbKWiK)
5,2022-12-26,[Simple arithmetic in C](https://drive.google.com/open?id=1S3T6EL4dXi8v4O77yt-EW1sk97Qar09f)
6,2022-12-27,[Program to find area of circle and square using scanf](https://drive.google.com/open?id=1cgyZuqVOsmwgzjlMUt14dsqa1tSEKAVw)
7,2023-01-02,[Programs to find area of the rectangle and to find the sum of the digits of a five digit number.](https://drive.google.com/open?id=1cDnUPJGsdJsgkdOAvEx1Kq_ADw3c0nyf)
8,2023-01-03,[Areaoftriangle.c and Cartesiantopolarcoordinate.c](https://drive.google.com/open?id=1kZB2uP43ILV7gBRYubRjXAtK3cS-sc9O)
9,2023-01-04,[Programs - trigonometric.c and interchangingthecontentofavar.c](https://drive.google.com/open?id=1ML-KtSH7p-a3lf3HeJjJWx1kWAjpQC6Z)
